餐廳區域,店家,餐點,價格,營業時間 
第二餐廳_1F,SUBWAY,火腿起司蛋潛艇堡,$62,AM09:00~PM19:00
第二餐廳_1F,SUBWAY,培根起司蛋潛艇堡,$72,AM09:00~PM19:00
第二餐廳_1F,SUBWAY,素食蔬菜潛艇堡,$89,AM09:00~PM19:00
第二餐廳_1F,SUBWAY,秘醬烤雞腿潛艇堡,$130,AM09:00~PM19:00
第二餐廳_1F,SUBWAY,厚切嫩牛潛艇堡,$143,AM09:00~PM19:00
第二餐廳_1F,茶壜,寶石紅茶,$30,AM09:00~PM19:00
第二餐廳_1F,茶壜,冬瓜綠茶,$40,AM09:00~PM19:00
第二餐廳_1F,茶壜,珍珠奶茶,$55,AM09:00~PM19:00
第二餐廳_1F,茶壜,青檸歐雷,$65,AM09:00~PM19:00
第二餐廳_1F,茶壜,大甲芋頭鮮奶,$70,AM09:00~PM19:00
第二餐廳_1F,拉亞漢堡,XL花生辣醬雞芝加哥堡,$99,AM06:00~PM13:00
第二餐廳_1F,拉亞漢堡,煙燻總匯蛋,$49,AM06:00~PM13:00
第二餐廳_1F,拉亞漢堡,總匯蛋餅,$55,AM06:00~PM13:00
第二餐廳_1F,拉亞漢堡,玉米蛋餅,$39,AM06:00~PM13:00
第二餐廳_1F,拉亞漢堡,醬炒麵(蘑菇)+蛋,$55,AM06:00~PM13:00
第二餐廳_1F,強尼兄弟健康廚房,新鮮蔬食菜飯餐盒,$75,AM09:00~PM13:00
第二餐廳_1F,強尼兄弟健康廚房,油蔥雞肉飯餐盒,$89,AM09:00~PM13:00
第二餐廳_1F,強尼兄弟健康廚房,日式牛肉丼餐盒,$99,AM09:00~PM13:00
第二餐廳_1F,強尼兄弟健康廚房,檸香松阪豬餐盒,$139,AM09:00~PM13:00
第二餐廳_1F,太祖魷魚羹,魷魚羹麵,$65,AM10:30~PM20:00
第二餐廳_1F,太祖魷魚羹,羊肉羹麵,$80,AM10:30~PM20:00
第二餐廳_1F,太祖魷魚羹,鮮肉湯包(9顆),$70,AM10:30~PM20:00
第二餐廳_1F,太祖魷魚羹,蝦餃(9顆),$75,AM10:30~PM20:00
第二餐廳_1F,阿嬤的飯桶,古早味大滷腿,$100,AM11:00~PM19:30
第二餐廳_1F,阿嬤的飯桶,香酥雞排飯,$95,AM11:00~PM19:30
第二餐廳_1F,阿嬤的飯桶,飯菜盒子,$55,AM11:00~PM19:30
第二餐廳_1F,阿嬤的飯桶,蝦捲飯,$70,AM11:00~PM19:30
第二餐廳_1F,阿嬤的飯桶,清蒸鮮魚飯,$80,AM11:00~PM19:30
第二餐廳_1F,阿嬤的飯桶,蒜泥白肉飯,$75,AM11:00~PM19:30
第二餐廳_1F,阿嬤的飯桶,古早味滷排骨,$80,AM11:00~PM19:30
第二餐廳_2F,和食軒丼飯,唐揚鷄炒飯,$100,AM10:30~PM20:00
第二餐廳_2F,和食軒丼飯,蛋炒飯,$75,AM10:30~PM20:00
第二餐廳_2F,和食軒丼飯,豬排咖哩飯,$130,AM10:30~PM20:00
第二餐廳_2F,和食軒丼飯,洋釀炸雞丼,$99,AM10:30~PM20:00
第二餐廳_2F,和食軒丼飯,日式豬排飯,$120,AM10:30~PM20:00
第二餐廳_2F,和食軒丼飯,溫玉烏龍麵,$80,AM10:30~PM20:00
研三舍,漢堡王,華堡,$120,AM11:00~PM19:00
研三舍,漢堡王,雙層華堡,$159,AM11:00~PM19:00
研三舍,漢堡王,美式花生雙層脆雞堡,$109,AM11:00~PM19:00
研三舍,比司多_早餐,里肌豬排鐵板麵(義大利)套餐,$85,AM06:00~AM11:00
研三舍,比司多_早餐,培根火腿起司潛艇堡套餐,$69,AM06:00~AM11:00
研三舍,比司多_早餐,德式香腸生菜捲套餐,$69,AM06:00~AM11:00
研三舍,比司多_早餐,水果蔬菜總會三明治套餐,$70,AM06:00~AM11:00
研三舍,比司多_早餐,烤鮪魚起司蛋套餐,$65,AM06:00~AM11:00
研三舍,比司多_早餐,蘿蔔糕＋蛋＋奶茶,$65,AM06:00~AM11:00
研三舍,御膳堂鴨肉飯,鴨肉飯,$70,AM11:00~PM19:00
研三舍,御膳堂鴨肉飯,極盛鴨肉飯,$120,AM11:00~PM19:00
研三舍,御膳堂鴨肉飯,鴨肉油蔥拌麵,$75,AM11:00~PM19:00
研三舍,李記小館,馳名三寶飯,$100,AM11:00~PM19:00
研三舍,李記小館,蜜汁烤雞腿飯,$100,AM11:00~PM19:00
研三舍,李記小館,蜜汁叉燒飯,$90,AM11:00~PM19:00
研三舍,義早早午餐,泡菜燒肉蛋餅,$69,AM11:00~PM19:00
研三舍,義早早午餐,鮮蔬鴨胸蛋餅,$69,AM11:00~PM19:00
研三舍,義早早午餐,綜合海鮮,$179,AM11:00~PM19:00
研三舍,義早早午餐,白醬嫩肩牛排麵,$229,AM11:00~PM19:00
研三舍,義早早午餐,紅醬綜合海鮮飯,$219,AM11:00~PM19:00
女二舍,極麵道,拉麵,$100,AM11:00~PM14:00
